AwayTeam,AwayGoals,AwayShotsOnTarget,HomeTeam,HomeGoals,HomeShotsOnTarget,FullTimeResult,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamLossStreak,AwayTeamLossStreak
Anderlecht,1.0,,Mechelen,0.0,,A,6,12,6,12
Roeselare,1.0,,Charleroi,1.0,,D,7,1,7,1
Bergen,1.0,,Club Brugge,2.0,,H,21,3,21,3
Germinal,2.0,,Dender,1.0,,A,2,3,2,3
Westerlo,1.0,,FC Brussels,0.0,,A,3,3,3,3
Cercle Brugge,1.0,,Genk,3.0,,H,8,3,8,3
St Truiden,1.0,,Lokeren,2.0,,H,7,3,7,3
Gent,4.0,,Mouscron,1.0,,A,9,6,9,6
Standard,4.0,,Waregem,1.0,,A,9,6,9,6
Charleroi,0.0,,Westerlo,1.0,,H,5,4,5,4
Lokeren,0.0,,Anderlecht,1.0,,H,15,4,15,4
Mechelen,1.0,,Bergen,1.0,,D,7,5,7,5
Waregem,0.0,,Cercle Brugge,2.0,,H,6,6,6,6
Genk,0.0,,Gent,5.0,,H,12,7,12,7
Dender,1.0,,Roeselare,3.0,,H,4,2,4,2
Mouscron,2.0,,St Truiden,0.0,,A,5,2,5,2
FC Brussels,1.0,,Standard,4.0,,H,12,2,12,2
Club Brugge,1.0,,Germinal,0.0,,A,6,6,6,6
St Truiden,2.0,,Club Brugge,3.0,,H,21,3,21,3
Mechelen,0.0,,Charleroi,1.0,,H,7,5,7,5
Anderlecht,2.0,,Dender,2.0,,D,2,12,2,12
Gent,2.0,,FC Brussels,0.0,,A,3,6,3,6
Roeselare,0.0,,Genk,0.0,,D,8,1,8,1
Germinal,0.0,,Lokeren,0.0,,D,7,3,7,3
Bergen,1.0,,Mouscron,3.0,,H,9,3,9,3
Westerlo,0.0,,Waregem,1.0,,H,9,3,9,3
Cercle Brugge,1.0,,Standard,4.0,,H,12,3,12,3
FC Brussels,0.0,,Anderlecht,3.0,,H,15,2,15,2
Lokeren,1.0,,Bergen,0.0,,A,7,4,7,4
Dender,0.0,,Cercle Brugge,3.0,,H,6,2,6,2
Waregem,1.0,,Gent,1.0,,D,12,6,12,6
Genk,2.0,,Germinal,1.0,,A,6,7,6,7
Standard,4.0,,Roeselare,0.0,,A,4,6,4,6
Mouscron,2.0,,Westerlo,0.0,,A,5,2,5,2
Charleroi,3.0,,St Truiden,1.0,,A,5,4,5,4
Club Brugge,1.0,,Mechelen,1.0,,D,6,6,6,6
Bergen,1.0,,Charleroi,3.0,,H,7,3,7,3
Gent,1.0,,Cercle Brugge,4.0,,H,6,6,6,6
St Truiden,0.0,,Dender,1.0,,H,2,3,2,3
Roeselare,0.0,,FC Brussels,0.0,,D,3,1,3,1
Westerlo,0.0,,Genk,1.0,,H,8,3,8,3
Mechelen,1.0,,Lokeren,3.0,,H,7,5,7,5
Germinal,1.0,,Waregem,2.0,,H,9,3,9,3
Anderlecht,2.0,,Mouscron,1.0,,A,9,12,9,12
