Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,PSH,PSD,PSA,WHH,WHD,WHA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamLossStreak,AwayTeamLossStreak,name,position,age,club,market,club_value
03/08/07,Mechelen,Anderlecht,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,7.0,4.0,1.36,8.0,4.55,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,17,4,3,,,,,,
04/08/07,Charleroi,Roeselare,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,,1.53,3.75,5.25,1.55,3.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,4,4,,,,,,
04/08/07,Club Brugge,Bergen,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,,1.4,3.8,7.5,1.4,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,7,2,4,,,,,,
04/08/07,Dender,Germinal,1.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,,3.4,3.2,1.95,3.1,3.2,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,3,5,,,,,,
04/08/07,FC Brussels,Westerlo,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,2.4,3.2,2.6,2.15,3.15,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,4,7,,,,,,
04/08/07,Genk,Cercle Brugge,3.0,1.0,H,3.0,1.0,H,,,,,,,,,,,,,1.36,4.0,7.5,1.4,4.0,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,5,9,,,,,,
04/08/07,Lokeren,St Truiden,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,,1.9,3.3,3.5,2.1,3.2,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,5,4,,,,,,
05/08/07,Mouscron,Gent,1.0,4.0,A,1.0,2.0,A,,,,,,,,,,,,,2.45,3.2,2.55,2.45,3.2,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,12,4,4,,,,,,
05/08/07,Waregem,Standard,1.0,4.0,A,1.0,1.0,D,,,,,,,,,,,,,3.1,3.3,2.05,2.8,3.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,12,5,4,,,,,,
10/08/07,Westerlo,Charleroi,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,2.25,3.1,2.9,2.25,3.2,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,7,4,,,,,,
11/08/07,Anderlecht,Lokeren,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1.22,4.75,10.0,1.25,5.0,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,7,3,5,,,,,,
11/08/07,Bergen,Mechelen,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,,1.7,3.4,4.33,1.8,3.3,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,4,4,,,,,,
