HomeTeam,AwayTeam,MeanGoalsHome,MeanShotsOnTargetHome,MeanGoalsAway,MeanShotsOnTargetAway,HomeTeam_FTR_Mode,AwayTeam_FTR_Mode,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamLossStreak,AwayTeamLossStreak
Mechelen,Anderlecht,1.5642857142857143,5.173076923076923,1.628032345013477,4.3418803418803416,"('Mechelen', 'H')","('Anderlecht', 'A')",6,12,4,5
Charleroi,Roeselare,1.3746478873239436,4.939130434782609,0.8902439024390244,,"('Charleroi', 'H')","('Roeselare', 'H')",9,1,4,6
Club Brugge,Bergen,2.306451612903226,6.5210084033613445,0.937984496124031,,"('Club Brugge', 'H')","('Bergen', 'H')",21,3,2,9
Dender,Germinal,1.1891891891891893,3.6666666666666665,1.0153061224489797,,"('Dender', 'A')","('Germinal', 'H')",2,3,3,7
FC Brussels,Westerlo,1.1355932203389831,,1.1576923076923078,4.205128205128205,"('FC Brussels', 'A')","('Westerlo', 'H')",3,3,4,6
Genk,Cercle Brugge,1.946236559139785,5.823529411764706,0.986013986013986,3.9320388349514563,"('Genk', 'H')","('Cercle Brugge', 'H')",8,3,5,14
Lokeren,St Truiden,1.332167832167832,4.233333333333333,1.0224358974358974,3.73109243697479,"('Lokeren', 'H')","('St Truiden', 'H')",7,3,5,11
Mouscron,Gent,1.669811320754717,4.193548387096774,1.462162162162162,5.237288135593221,"('Mouscron', 'H')","('Gent', 'A')",9,6,4,4
Waregem,Standard,1.6418439716312057,4.568421052631579,1.4112903225806452,4.1525423728813555,"('Waregem', 'H')","('Standard', 'A')",9,6,5,5
Westerlo,Charleroi,1.4980988593155893,4.75,1.1497175141242937,4.461538461538462,"('Westerlo', 'H')","('Charleroi', 'H')",5,4,7,9
Anderlecht,Lokeren,2.3002680965147455,5.508474576271187,1.2269503546099292,3.4,"('Anderlecht', 'H')","('Lokeren', 'H')",17,5,3,11
Bergen,Mechelen,1.4453125,,1.1464285714285714,4.108910891089109,"('Bergen', 'H')","('Mechelen', 'H')",7,5,4,6
Cercle Brugge,Waregem,1.408450704225352,4.872549019607843,1.2826855123674912,4.145833333333333,"('Cercle Brugge', 'H')","('Waregem', 'H')",6,6,9,6
Gent,Genk,1.8629032258064515,5.890756302521009,1.5148247978436657,4.9576271186440675,"('Gent', 'H')","('Genk', 'H')",12,7,4,8
Roeselare,Dender,1.451219512195122,,1.2162162162162162,5.333333333333333,"('Roeselare', 'H')","('Dender', 'H')",4,2,4,4
St Truiden,Mouscron,1.3624595469255663,4.38135593220339,1.1132075471698113,3.819672131147541,"('St Truiden', 'H')","('Mouscron', 'H')",5,2,4,10
Standard,FC Brussels,1.814516129032258,5.102564102564102,0.7833333333333333,,"('Standard', 'H')","('FC Brussels', 'H')",12,2,4,4
Germinal,Club Brugge,1.6770833333333333,,1.6978609625668448,5.38135593220339,"('Germinal', 'H')","('Club Brugge', 'A')",10,7,5,4
Club Brugge,St Truiden,2.306451612903226,6.5210084033613445,1.0224358974358974,3.73109243697479,"('Club Brugge', 'H')","('St Truiden', 'H')",21,3,2,11
Charleroi,Mechelen,1.3746478873239436,4.939130434782609,1.1464285714285714,4.108910891089109,"('Charleroi', 'H')","('Mechelen', 'H')",9,5,4,6
Dender,Anderlecht,1.1891891891891893,3.6666666666666665,1.628032345013477,4.3418803418803416,"('Dender', 'A')","('Anderlecht', 'A')",2,12,3,5
FC Brussels,Gent,1.1355932203389831,,1.462162162162162,5.237288135593221,"('FC Brussels', 'A')","('Gent', 'A')",3,6,4,4
Genk,Roeselare,1.946236559139785,5.823529411764706,0.8902439024390244,,"('Genk', 'H')","('Roeselare', 'H')",8,1,5,6
Lokeren,Germinal,1.332167832167832,4.233333333333333,1.0153061224489797,,"('Lokeren', 'H')","('Germinal', 'H')",7,3,5,7
Mouscron,Bergen,1.669811320754717,4.193548387096774,0.937984496124031,,"('Mouscron', 'H')","('Bergen', 'H')",9,3,4,9
Waregem,Westerlo,1.6418439716312057,4.568421052631579,1.1576923076923078,4.205128205128205,"('Waregem', 'H')","('Westerlo', 'H')",9,3,5,6
Standard,Cercle Brugge,1.814516129032258,5.102564102564102,0.986013986013986,3.9320388349514563,"('Standard', 'H')","('Cercle Brugge', 'H')",12,3,4,14
Anderlecht,FC Brussels,2.3002680965147455,5.508474576271187,0.7833333333333333,,"('Anderlecht', 'H')","('FC Brussels', 'H')",17,2,3,4
Bergen,Lokeren,1.4453125,,1.2269503546099292,3.4,"('Bergen', 'H')","('Lokeren', 'H')",7,5,4,11
Cercle Brugge,Dender,1.408450704225352,4.872549019607843,1.2162162162162162,5.333333333333333,"('Cercle Brugge', 'H')","('Dender', 'H')",6,2,9,4
