,Date,AwayTeam,AwayGoals,AwayShotsOnTarget,HomeTeam,HomeGoals,HomeShotsOnTarget,FullTimeResult,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamLossStreak,AwayTeamLossStreak
0,2007-08-03,Anderlecht,1.0,,Mechelen,0.0,,A,6,12,6,12
1,2007-08-04,Roeselare,1.0,,Charleroi,1.0,,D,9,1,9,1
2,2007-08-04,Bergen,1.0,,Club Brugge,2.0,,H,21,3,21,3
3,2007-08-04,Germinal,2.0,,Dender,1.0,,A,2,3,2,3
4,2007-08-04,Westerlo,1.0,,FC Brussels,0.0,,A,3,3,3,3
5,2007-08-04,Cercle Brugge,1.0,,Genk,3.0,,H,8,3,8,3
6,2007-08-04,St Truiden,1.0,,Lokeren,2.0,,H,7,3,7,3
7,2007-08-05,Gent,4.0,,Mouscron,1.0,,A,9,6,9,6
8,2007-08-05,Standard,4.0,,Waregem,1.0,,A,9,6,9,6
9,2007-08-10,Charleroi,0.0,,Westerlo,1.0,,H,5,4,5,4
10,2007-08-11,Lokeren,0.0,,Anderlecht,1.0,,H,17,5,17,5
11,2007-08-11,Mechelen,1.0,,Bergen,1.0,,D,7,5,7,5
12,2007-08-11,Waregem,0.0,,Cercle Brugge,2.0,,H,6,6,6,6
13,2007-08-11,Genk,0.0,,Gent,5.0,,H,12,7,12,7
14,2007-08-11,Dender,1.0,,Roeselare,3.0,,H,4,2,4,2
15,2007-08-11,Mouscron,2.0,,St Truiden,0.0,,A,5,2,5,2
16,2007-08-11,FC Brussels,1.0,,Standard,4.0,,H,12,2,12,2
17,2007-08-12,Club Brugge,1.0,,Germinal,0.0,,A,10,7,10,7
18,2007-08-17,St Truiden,2.0,,Club Brugge,3.0,,H,21,3,21,3
19,2007-08-18,Mechelen,0.0,,Charleroi,1.0,,H,9,5,9,5
20,2007-08-18,Anderlecht,2.0,,Dender,2.0,,D,2,12,2,12
21,2007-08-18,Gent,2.0,,FC Brussels,0.0,,A,3,6,3,6
22,2007-08-18,Roeselare,0.0,,Genk,0.0,,D,8,1,8,1
23,2007-08-18,Germinal,0.0,,Lokeren,0.0,,D,7,3,7,3
24,2007-08-18,Bergen,1.0,,Mouscron,3.0,,H,9,3,9,3
25,2007-08-18,Westerlo,0.0,,Waregem,1.0,,H,9,3,9,3
26,2007-08-19,Cercle Brugge,1.0,,Standard,4.0,,H,12,3,12,3
27,2007-08-25,FC Brussels,0.0,,Anderlecht,3.0,,H,17,2,17,2
28,2007-08-25,Lokeren,1.0,,Bergen,0.0,,A,7,5,7,5
29,2007-08-25,Dender,0.0,,Cercle Brugge,3.0,,H,6,2,6,2
30,2007-08-25,Waregem,1.0,,Gent,1.0,,D,12,6,12,6
31,2007-08-25,Genk,2.0,,Germinal,1.0,,A,10,7,10,7
32,2007-08-25,Standard,4.0,,Roeselare,0.0,,A,4,6,4,6
33,2007-08-25,Mouscron,2.0,,Westerlo,0.0,,A,5,2,5,2
34,2007-08-26,Charleroi,3.0,,St Truiden,1.0,,A,5,4,5,4
35,2007-08-27,Club Brugge,1.0,,Mechelen,1.0,,D,6,7,6,7
36,2007-08-31,Bergen,1.0,,Charleroi,3.0,,H,9,3,9,3
37,2007-09-01,Gent,1.0,,Cercle Brugge,4.0,,H,6,6,6,6
38,2007-09-01,St Truiden,0.0,,Dender,1.0,,H,2,3,2,3
39,2007-09-01,Roeselare,0.0,,FC Brussels,0.0,,D,3,1,3,1
40,2007-09-01,Westerlo,0.0,,Genk,1.0,,H,8,3,8,3
41,2007-09-01,Mechelen,1.0,,Lokeren,3.0,,H,7,5,7,5
42,2007-09-01,Germinal,1.0,,Waregem,2.0,,H,9,3,9,3
43,2007-09-02,Anderlecht,2.0,,Mouscron,1.0,,A,9,12,9,12
44,2007-09-02,Club Brugge,1.0,,Standard,2.0,,H,12,7,12,7
45,2007-09-15,Waregem,2.0,,Anderlecht,2.0,,D,17,6,17,6
46,2007-09-15,FC Brussels,1.0,,Bergen,2.0,,H,7,2,7,2
47,2007-09-15,Lokeren,1.0,,Club Brugge,1.0,,D,21,5,21,5
48,2007-09-15,Charleroi,0.0,,Germinal,1.0,,H,10,4,10,4
49,2007-09-15,Mouscron,2.0,,Mechelen,2.0,,D,6,2,6,2
50,2007-09-15,Cercle Brugge,2.0,,Roeselare,0.0,,A,4,3,4,3
51,2007-09-15,Dender,0.0,,Westerlo,0.0,,D,5,2,5,2
52,2007-09-16,Standard,1.0,,Gent,1.0,,D,12,6,12,6
53,2007-09-16,Genk,2.0,,St Truiden,1.0,,A,5,7,5,7
54,2007-09-22,Germinal,1.0,,Cercle Brugge,1.0,,D,6,3,6,3
55,2007-09-22,Bergen,3.0,,Dender,0.0,,A,2,3,2,3
56,2007-09-22,St Truiden,0.0,,FC Brussels,2.0,,H,3,3,3,3
57,2007-09-22,Roeselare,1.0,,Gent,1.0,,D,12,1,12,1
58,2007-09-22,Lokeren,0.0,,Mouscron,2.0,,H,9,5,9,5
59,2007-09-22,Mechelen,0.0,,Waregem,2.0,,H,9,5,9,5
60,2007-09-23,Club Brugge,1.0,,Charleroi,1.0,,D,9,7,9,7
61,2007-09-23,Anderlecht,1.0,,Genk,1.0,,D,8,12,8,12
62,2007-09-24,Westerlo,1.0,,Standard,2.0,,H,12,3,12,3
63,2007-09-28,Genk,1.0,,Bergen,1.0,,D,7,7,7,7
64,2007-09-29,Charleroi,1.0,,Anderlecht,0.0,,A,17,4,17,4
65,2007-09-29,Mouscron,0.0,,Club Brugge,1.0,,H,21,2,21,2
66,2007-09-29,FC Brussels,1.0,,Lokeren,0.0,,A,7,2,7,2
67,2007-09-29,Waregem,2.0,,Roeselare,3.0,,H,4,6,4,6
68,2007-09-29,Standard,0.0,,St Truiden,0.0,,D,5,6,5,6
69,2007-09-29,Cercle Brugge,1.0,,Westerlo,1.0,,D,5,3,5,3
70,2007-09-30,Gent,2.0,,Germinal,2.0,,D,10,6,10,6
71,2007-09-30,Dender,2.0,,Mechelen,2.0,,D,6,2,6,2
72,2007-10-05,Mouscron,3.0,,Charleroi,1.0,,A,9,2,9,2
73,2007-10-06,St Truiden,1.0,,Cercle Brugge,5.0,,H,6,3,6,3
74,2007-10-06,Lokeren,1.0,,Dender,0.0,,A,2,5,2,5
75,2007-10-06,Mechelen,1.0,,Genk,2.0,,H,8,5,8,5
76,2007-10-06,Westerlo,1.0,,Gent,1.0,,D,12,3,12,3
77,2007-10-06,Bergen,1.0,,Waregem,2.0,,H,9,3,9,3
78,2007-10-07,Club Brugge,3.0,,FC Brussels,1.0,,A,3,7,3,7
79,2007-10-07,Anderlecht,2.0,,Roeselare,2.0,,D,4,12,4,12
80,2007-10-07,Germinal,1.0,,Standard,3.0,,H,12,3,12,3
81,2007-10-20,Dender,0.0,,Club Brugge,2.0,,H,21,2,21,2
82,2007-10-20,FC Brussels,0.0,,Germinal,3.0,,H,10,2,10,2
83,2007-10-20,Charleroi,0.0,,Lokeren,1.0,,H,7,4,7,4
84,2007-10-20,Cercle Brugge,4.0,,Mechelen,0.0,,A,6,3,6,3
85,2007-10-20,Genk,1.0,,Mouscron,1.0,,D,9,7,9,7
86,2007-10-20,Waregem,1.0,,St Truiden,2.0,,H,5,6,5,6
87,2007-10-20,Roeselare,0.0,,Westerlo,6.0,,H,5,1,5,1
88,2007-10-21,Gent,1.0,,Anderlecht,2.0,,H,17,6,17,6
89,2007-10-21,Standard,1.0,,Bergen,1.0,,D,7,6,7,6
90,2007-10-26,Bergen,0.0,,Gent,2.0,,H,12,3,12,3
91,2007-10-27,Mouscron,3.0,,Dender,0.0,,A,2,2,2,2
92,2007-10-27,Charleroi,2.0,,FC Brussels,1.0,,A,3,4,3,4
93,2007-10-27,St Truiden,0.0,,Roeselare,2.0,,H,4,3,4,3
94,2007-10-27,Mechelen,2.0,,Standard,2.0,,D,12,5,12,5
95,2007-10-27,Lokeren,1.0,,Waregem,1.0,,D,9,5,9,5
96,2007-10-27,Germinal,2.0,,Westerlo,1.0,,A,5,3,5,3
97,2007-10-28,Anderlecht,0.0,,Cercle Brugge,0.0,,D,6,12,6,12
98,2007-10-28,Club Brugge,2.0,,Genk,1.0,,A,8,7,8,7
99,2007-11-02,Standard,0.0,,Mouscron,0.0,,D,9,6,9,6
100,2007-11-03,Westerlo,1.0,,Anderlecht,3.0,,H,17,3,17,3
101,2007-11-03,Cercle Brugge,2.0,,Bergen,0.0,,A,7,3,7,3
102,2007-11-03,Dender,0.0,,Charleroi,1.0,,H,9,2,9,2
103,2007-11-03,Waregem,0.0,,Club Brugge,1.0,,H,21,6,21,6
104,2007-11-03,Roeselare,0.0,,Germinal,2.0,,H,10,1,10,1
105,2007-11-03,Gent,1.0,,St Truiden,2.0,,H,5,6,5,6
106,2007-11-04,Genk,1.0,,Lokeren,1.0,,D,7,7,7,7
107,2007-11-04,FC Brussels,0.0,,Mechelen,4.0,,H,6,2,6,2
108,2007-11-09,Club Brugge,2.0,,Cercle Brugge,1.0,,A,6,7,6,7
109,2007-11-10,Dender,1.0,,FC Brussels,4.0,,H,3,2,3,2
110,2007-11-10,Charleroi,0.0,,Genk,1.0,,H,8,4,8,4
111,2007-11-10,Lokeren,0.0,,Standard,1.0,,H,12,5,12,5
112,2007-11-10,Mouscron,1.0,,Waregem,2.0,,H,9,2,9,2
113,2007-11-10,St Truiden,0.0,,Westerlo,2.0,,H,5,3,5,3
114,2007-11-11,Mechelen,1.0,,Gent,4.0,,H,12,5,12,5
115,2007-11-11,Anderlecht,0.0,,Germinal,2.0,,H,10,12,10,12
116,2007-11-12,Bergen,3.0,,Roeselare,4.0,,H,4,3,4,3
117,2007-11-30,Standard,0.0,,Anderlecht,0.0,,D,17,6,17,6
118,2007-12-01,Westerlo,3.0,,Bergen,1.0,,A,7,3,7,3
119,2007-12-01,Waregem,3.0,,Charleroi,2.0,,A,9,6,9,6
120,2007-12-01,Cercle Brugge,1.0,,Lokeren,1.0,,D,7,3,7,3
121,2007-12-01,Roeselare,3.0,,Mechelen,4.0,,H,6,1,6,1
122,2007-12-01,FC Brussels,1.0,,Mouscron,1.0,,D,9,2,9,2
123,2007-12-01,Germinal,3.0,,St Truiden,0.0,,A,5,3,5,3
124,2007-12-02,Gent,0.0,,Club Brugge,0.0,,D,21,6,21,6
125,2007-12-02,Genk,0.0,,Dender,2.0,,H,2,7,2,7
126,2007-12-07,Charleroi,1.0,,Standard,5.0,,H,12,4,12,4
127,2007-12-08,Mouscron,0.0,,Cercle Brugge,3.0,,H,6,2,6,2
128,2007-12-08,Genk,5.0,,FC Brussels,0.0,,A,3,7,3,7
129,2007-12-08,Lokeren,2.0,,Gent,4.0,,H,12,5,12,5
130,2007-12-08,Bergen,0.0,,Germinal,2.0,,H,10,3,10,3
131,2007-12-08,Dender,2.0,,Waregem,1.0,,A,9,2,9,2
132,2007-12-08,Mechelen,1.0,,Westerlo,1.0,,D,5,5,5,5
133,2007-12-09,Club Brugge,2.0,,Roeselare,1.0,,A,4,7,4,7
134,2007-12-09,Anderlecht,3.0,,St Truiden,4.0,,H,5,12,5,12
135,2007-12-14,Waregem,2.0,,Genk,5.0,,H,8,6,8,6
136,2007-12-15,St Truiden,0.0,,Bergen,0.0,,D,7,3,7,3
137,2007-12-15,Standard,0.0,,Dender,0.0,,D,2,6,2,6
138,2007-12-15,Cercle Brugge,4.0,,FC Brussels,1.0,,A,3,3,3,3
139,2007-12-15,Westerlo,1.0,,Lokeren,1.0,,D,7,3,7,3
140,2007-12-15,Germinal,2.0,,Mechelen,1.0,,A,6,3,6,3
141,2007-12-15,Roeselare,3.0,,Mouscron,1.0,,A,9,1,9,1
142,2007-12-16,Gent,2.0,,Charleroi,1.0,,A,9,6,9,6
143,2007-12-16,Anderlecht,0.0,,Club Brugge,1.0,,H,21,12,21,12
144,2007-12-22,Bergen,2.0,,Anderlecht,3.0,,H,17,3,17,3
145,2007-12-22,Dender,4.0,,Gent,2.0,,A,12,2,12,2
146,2007-12-22,Mouscron,0.0,,Germinal,3.0,,H,10,2,10,2
147,2007-12-22,Mechelen,1.0,,St Truiden,0.0,,A,5,5,5,5
148,2007-12-22,FC Brussels,0.0,,Waregem,1.0,,H,9,2,9,2
149,2007-12-23,Charleroi,1.0,,Cercle Brugge,3.0,,H,6,4,6,4
150,2007-12-23,Genk,1.0,,Standard,3.0,,H,12,7,12,7
151,2008-01-18,Club Brugge,1.0,,Bergen,0.0,,A,7,7,7,7
152,2008-01-19,Mechelen,0.0,,Anderlecht,1.0,,H,17,5,17,5
153,2008-01-19,Dender,0.0,,Germinal,1.0,,H,10,2,10,2
154,2008-01-19,Charleroi,2.0,,Roeselare,1.0,,A,4,4,4,4
155,2008-01-19,Lokeren,1.0,,St Truiden,1.0,,D,5,5,5,5
156,2008-01-19,Waregem,1.0,,Standard,3.0,,H,12,6,12,6
157,2008-01-19,FC Brussels,2.0,,Westerlo,7.0,,H,5,2,5,2
158,2008-01-20,Genk,1.0,,Cercle Brugge,5.0,,H,6,7,6,7
159,2008-01-20,Mouscron,0.0,,Gent,2.0,,H,12,2,12,2
160,2008-01-22,Lokeren,1.0,,Roeselare,1.0,,D,4,5,4,5
161,2008-01-22,Club Brugge,0.0,,Westerlo,0.0,,D,5,7,5,7
162,2008-01-25,Cercle Brugge,3.0,,Waregem,0.0,,A,9,3,9,3
163,2008-01-26,Westerlo,1.0,,Charleroi,1.0,,D,9,3,9,3
164,2008-01-26,Germinal,0.0,,Club Brugge,3.0,,H,21,3,21,3
165,2008-01-26,Roeselare,1.0,,Dender,2.0,,H,2,1,2,1
166,2008-01-26,Gent,3.0,,Genk,3.0,,D,8,6,8,6
167,2008-01-26,Bergen,0.0,,Mechelen,2.0,,H,6,3,6,3
168,2008-01-26,St Truiden,0.0,,Mouscron,0.0,,D,9,3,9,3
169,2008-01-27,Standard,1.0,,FC Brussels,0.0,,A,3,6,3,6
170,2008-01-27,Anderlecht,0.0,,Lokeren,0.0,,D,7,12,7,12
171,2008-02-02,Dender,0.0,,Anderlecht,1.0,,H,17,2,17,2
172,2008-02-02,Mouscron,0.0,,Bergen,2.0,,H,7,2,7,2
173,2008-02-02,FC Brussels,0.0,,Gent,1.0,,H,12,2,12,2
174,2008-02-02,Charleroi,0.0,,Mechelen,1.0,,H,6,4,6,4
175,2008-02-02,Genk,0.0,,Roeselare,0.0,,D,4,7,4,7
176,2008-02-02,Waregem,1.0,,Westerlo,1.0,,D,5,6,5,6
177,2008-02-03,Standard,0.0,,Cercle Brugge,0.0,,D,6,6,6,6
178,2008-02-03,Lokeren,1.0,,Germinal,1.0,,D,10,5,10,5
179,2008-02-03,Club Brugge,1.0,,St Truiden,1.0,,D,5,7,5,7
180,2008-02-09,St Truiden,1.0,,Charleroi,1.0,,D,9,3,9,3
181,2008-02-09,Mechelen,0.0,,Club Brugge,2.0,,H,21,5,21,5
182,2008-02-09,Cercle Brugge,4.0,,Dender,2.0,,A,2,3,2,3
183,2008-02-09,Anderlecht,4.0,,FC Brussels,2.0,,A,3,12,3,12
184,2008-02-09,Bergen,2.0,,Lokeren,1.0,,A,7,3,7,3
185,2008-02-09,Westerlo,2.0,,Mouscron,1.0,,A,9,3,9,3
186,2008-02-09,Roeselare,0.0,,Standard,0.0,,D,12,1,12,1
187,2008-02-10,Germinal,3.0,,Genk,1.0,,A,8,3,8,3
188,2008-02-10,Gent,1.0,,Waregem,2.0,,H,9,6,9,6
189,2008-02-15,Cercle Brugge,2.0,,Gent,3.0,,H,12,3,12,3
190,2008-02-16,Charleroi,0.0,,Bergen,0.0,,D,7,4,7,4
191,2008-02-16,Waregem,0.0,,Germinal,0.0,,D,10,6,10,6
192,2008-02-16,Lokeren,1.0,,Mechelen,1.0,,D,6,5,6,5
193,2008-02-16,FC Brussels,0.0,,Roeselare,2.0,,H,4,2,4,2
194,2008-02-16,Dender,2.0,,St Truiden,1.0,,A,5,2,5,2
195,2008-02-16,Genk,1.0,,Westerlo,2.0,,H,5,7,5,7
196,2008-02-17,Mouscron,1.0,,Anderlecht,2.0,,H,17,2,17,2
197,2008-02-17,Standard,2.0,,Club Brugge,1.0,,A,21,6,21,6
198,2008-02-22,St Truiden,1.0,,Genk,0.0,,A,8,3,8,3
199,2008-02-23,Roeselare,0.0,,Cercle Brugge,0.0,,D,6,1,6,1
200,2008-02-23,Germinal,0.0,,Charleroi,0.0,,D,9,3,9,3
201,2008-02-23,Westerlo,0.0,,Dender,2.0,,H,2,3,2,3
202,2008-02-23,Bergen,1.0,,FC Brussels,1.0,,D,3,3,3,3
203,2008-02-23,Mechelen,1.0,,Mouscron,0.0,,A,9,5,9,5
204,2008-02-23,Gent,0.0,,Standard,0.0,,D,12,6,12,6
205,2008-02-24,Club Brugge,1.0,,Lokeren,0.0,,A,7,7,7,7
206,2008-02-24,Anderlecht,0.0,,Waregem,1.0,,H,9,12,9,12
207,2008-02-29,Charleroi,2.0,,Club Brugge,0.0,,A,21,4,21,4
208,2008-03-01,Dender,2.0,,Bergen,2.0,,D,7,2,7,2
209,2008-03-01,Mouscron,0.0,,Lokeren,0.0,,D,7,2,7,2
210,2008-03-01,Waregem,1.0,,Mechelen,2.0,,H,6,6,6,6
211,2008-03-01,Gent,1.0,,Roeselare,0.0,,A,4,6,4,6
212,2008-03-01,FC Brussels,1.0,,St Truiden,1.0,,D,5,2,5,2
213,2008-03-01,Standard,3.0,,Westerlo,1.0,,A,5,6,5,6
214,2008-03-02,Genk,0.0,,Anderlecht,1.0,,H,17,7,17,7
215,2008-03-02,Cercle Brugge,0.0,,Germinal,3.0,,H,10,3,10,3
216,2008-03-07,St Truiden,1.0,,Standard,2.0,,H,12,3,12,3
217,2008-03-08,Westerlo,0.0,,Cercle Brugge,1.0,,H,6,3,6,3
218,2008-03-08,Mechelen,3.0,,Dender,0.0,,A,2,5,2,5
219,2008-03-08,Lokeren,0.0,,FC Brussels,2.0,,H,3,5,3,5
220,2008-03-08,Bergen,2.0,,Genk,1.0,,A,8,3,8,3
221,2008-03-08,Club Brugge,0.0,,Mouscron,2.0,,H,9,7,9,7
222,2008-03-08,Roeselare,1.0,,Waregem,3.0,,H,9,1,9,1
223,2008-03-09,Anderlecht,2.0,,Charleroi,0.0,,A,9,12,9,12
