Anderlecht,1,2,5,17,12,17,12,1,0,2,4
Antwerp,2,4,10,8,6,8,6,0,1,6,3
Beerschot VA,3,4,2,5,4,5,4,1,0,6,0
Cercle Brugge,5,8,3,6,3,6,3,4,0,4,3
Charleroi,6,3,6,9,4,9,4,1,2,3,5
Club Brugge,7,10,4,21,7,21,7,3,2,1,6
Dender,8,5,4,2,2,2,2,1,2,3,5
Genk,10,5,6,8,7,8,7,1,4,2,3
Gent,11,8,0,12,6,12,6,1,0,2,6
Kortrijk,13,4,1,5,3,5,3,1,0,5,3
Mechelen,16,7,4,6,5,6,5,5,1,4,4
Oud-Heverlee Leuven,20,4,6,4,2,4,2,2,1,3,1
St Truiden,23,0,3,5,3,5,3,0,1,2,1
St. Gilloise,24,6,2,8,7,8,7,0,0,2,3
Standard,25,3,0,12,6,12,6,1,0,1,0
Westerlo,28,3,0,5,3,5,3,1,0,3,2
