Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,PSH,PSD,PSA,WHH,WHD,WHA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA
166.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,8.5,10.0,4.5,3.5,11.5,16.5,5.5,10.0,2.5,2.5,0.0,0.0,7.0,4.0,1.36,8.0,4.55,1.3,5.625,4.29,1.5750000000000002,5.375,3.95,1.585,4.4,4.095000000000001,2.4450000000000003,3.855,3.885,2.28,1.7,2.1,1.705,2.1900000000000004,1.75,2.205,1.6949999999999998,0.375,1.95,1.9,1.9699999999999998,1.9049999999999998,2.01,1.975,1.935,1.9049999999999998
232.0,7.0,29.0,1.0,1.0,1.0,1.0,0.0,2.0,13.5,11.5,4.5,3.5,15.5,14.0,7.5,4.5,2.0,3.0,0.0,0.0,1.53,3.75,5.25,1.55,3.5,5.5,1.685,4.08,5.515,1.65,3.7,5.5,1.6400000000000001,4.33,7.115,1.6,4.11,6.32,1.915,1.9100000000000001,1.93,1.935,1.9749999999999999,1.99,1.8900000000000001,-0.875,1.865,1.9849999999999999,1.8900000000000001,1.9949999999999999,1.915,2.035,1.8599999999999999,1.97
232.0,8.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,9.0,9.5,4.5,5.0,9.0,14.0,2.5,3.5,2.0,0.5,1.0,0.0,1.4,3.8,7.5,1.4,4.0,7.0,2.345,3.6950000000000003,3.085,1.665,3.8,5.7,1.7000000000000002,4.765,6.3,1.655,4.445,5.880000000000001,1.685,2.135,1.69,2.2,1.725,2.2199999999999998,1.69,-1.0,1.99,1.865,1.98,1.875,2.0549999999999997,1.9049999999999998,1.975,1.85
232.0,9.0,14.0,1.0,2.0,0.0,0.0,0.0,1.0,17.0,10.0,8.0,4.5,11.0,11.0,4.5,0.5,1.5,3.5,0.0,0.0,3.4,3.2,1.95,3.1,3.2,2.1,2.27,3.58,3.385,2.175,3.55,3.15,3.0599999999999996,3.74,2.4850000000000003,2.875,3.525,2.375,1.685,2.15,1.7149999999999999,2.1550000000000002,1.7650000000000001,2.205,1.705,0.125,1.95,1.905,1.945,1.935,1.9849999999999999,1.96,1.925,1.895
232.0,11.0,37.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,8.0,3.0,3.0,15.0,9.5,6.0,5.0,1.5,2.5,0.0,0.0,2.4,3.2,2.6,2.15,3.15,3.05,1.845,3.815,4.245,1.725,3.525,4.0649999999999995,1.685,4.75,6.5,1.625,4.35,5.965,1.7,2.125,1.6800000000000002,2.24,1.74,2.325,1.6800000000000002,-1.0,1.94,1.8900000000000001,1.96,1.91,1.995,1.9499999999999997,1.9499999999999997,1.875
232.0,12.0,6.0,3.0,1.0,2.0,3.0,1.0,2.0,16.5,12.5,7.0,5.0,10.5,13.0,6.0,2.5,0.0,2.5,0.0,0.0,1.36,4.0,7.5,1.4,4.0,6.8,1.64,4.52,6.029999999999999,1.4300000000000002,4.3,6.35,1.4100000000000001,5.4,8.5,1.355,5.02,7.815,1.6099999999999999,2.2750000000000004,1.5899999999999999,2.4,1.625,2.415,1.595,-1.5,2.01,1.81,2.02,1.84,2.09,1.8599999999999999,2.015,1.8050000000000002
232.0,19.0,31.0,2.0,1.0,2.0,1.0,0.0,2.0,12.5,8.5,5.5,3.5,14.0,13.5,6.0,4.5,2.5,2.0,0.0,0.0,1.9,3.3,3.5,2.1,3.2,3.1,1.65,4.155,5.645,1.595,3.75,4.9,1.885,3.865,4.365,1.8450000000000002,3.675,4.045,1.835,1.975,1.8649999999999998,2.035,1.915,2.09,1.825,-0.5,1.84,2.01,1.86,2.025,1.885,2.0549999999999997,1.8450000000000002,1.99
296.0,24.0,13.0,1.0,4.0,0.0,1.0,2.0,0.0,14.5,8.5,4.5,4.5,11.5,12.0,5.5,3.0,3.5,2.0,0.5,0.5,2.45,3.2,2.55,2.45,3.2,2.55,3.635,3.59,2.135,3.25,3.3499999999999996,2.0,2.925,3.7800000000000002,2.88,2.6950000000000003,3.6100000000000003,2.73,1.755,2.1,1.74,2.175,1.79,2.1799999999999997,1.735,0.125,1.8,2.025,1.81,2.0599999999999996,1.8450000000000002,2.09,1.79,2.02
296.0,36.0,33.0,1.0,4.0,0.0,1.0,1.0,1.0,15.0,5.0,7.0,1.5,12.0,16.0,7.5,1.0,1.5,2.0,0.0,0.5,3.1,3.3,2.05,2.8,3.25,2.25,2.185,3.515,3.63,2.09,3.55,3.45,2.1550000000000002,3.875,3.5949999999999998,2.07,3.6550000000000002,3.46,1.67,2.15,1.7,2.21,1.7349999999999999,2.225,1.6749999999999998,-0.5,2.025,1.8250000000000002,2.08,1.8,2.085,1.85,2.0,1.795
585.0,37.0,7.0,1.0,0.0,2.0,1.0,0.0,2.0,11.0,12.0,3.5,6.0,3.5,12.0,6.0,5.0,1.5,1.5,0.5,0.0,2.25,3.1,2.9,2.25,3.2,2.8,2.64,3.685,3.2299999999999995,3.425,3.325,1.95,4.34,4.53,3.405,3.94,4.3100000000000005,3.2,1.635,2.225,1.65,2.2800000000000002,1.6600000000000001,2.375,1.625,0.125,1.91,1.925,1.99,1.875,2.01,1.98,1.94,1.895
